                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.92745,                 1.4409,                0.54545,                0.96593,                0.61769,                0.73274,                0.63896,                0.27774,                 0.5751,                0.67316,                0.55596,                0.23547,                 2.0753,                 3.3173,                 1.0941,                 1.6114,              0.0002774,              0.0002774,              0.0002774
                     89,                0.97347,                 1.4506,                0.55499,                0.98064,                0.60992,                0.74159,                0.64086,                0.27697,                 0.5569,                0.69626,                0.54891,                0.23594,                 2.1291,                 3.4605,                 1.1188,                 1.6453,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.9455,                 1.4564,                0.53821,                0.96739,                0.59264,                0.77168,                 0.6428,                0.27295,                0.54629,                0.70964,                 0.5528,                0.22887,                 2.1869,                 3.6465,                 1.1317,                 1.6883,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1192,                  1.799,                 0.7432,                 1.1013,                0.62169,                0.71261,                0.63879,                0.26656,                0.58049,                0.67434,                0.55237,                0.22668,                 2.2049,                 3.7228,                 1.0833,                 1.7163,               0.000218,               0.000218,               0.000218
                     92,                0.99208,                 1.6046,                 0.5965,                0.99119,                0.61663,                0.73805,                0.63442,                0.26011,                0.57818,                0.69204,                0.54629,                0.21973,                 2.1732,                 3.6652,                 1.0726,                 1.6973,              0.0001982,              0.0001982,              0.0001982
                     93,                0.92128,                 1.4812,                0.53398,                0.96803,                0.59325,                0.77443,                0.63613,                0.25726,                0.54971,                0.71858,                0.53374,                0.21849,                  2.161,                  3.604,                 1.0651,                 1.6971,              0.0001784,              0.0001784,              0.0001784
                     94,                0.96524,                 1.5318,                0.56815,                0.97254,                0.60713,                0.76586,                0.62991,                0.25484,                 0.5605,                 0.7115,                0.52984,                0.21743,                 2.1588,                 3.5568,                 1.0527,                 1.7019,              0.0001586,              0.0001586,              0.0001586
                     95,                0.97335,                 1.5687,                0.59286,                 1.0063,                0.60706,                0.75221,                0.62484,                0.25391,                0.56792,                0.70442,                0.53199,                0.21646,                 2.1572,                 3.5183,                 1.0457,                 1.7125,              0.0001388,              0.0001388,              0.0001388
                     96,                0.93615,                 1.5067,                0.52989,                0.96389,                 0.6152,                0.75836,                0.62829,                0.25465,                  0.575,                 0.7088,                0.53759,                0.21632,                 2.1727,                 3.5651,                  1.033,                 1.7326,               0.000119,               0.000119,               0.000119
                     97,                0.91107,                 1.4632,                0.52159,                0.94824,                0.61847,                0.74883,                0.62386,                0.25415,                0.57658,                0.70619,                0.54448,                0.21606,                 2.2012,                 3.6393,                 1.0233,                 1.7565,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.92288,                 1.4739,                0.52479,                0.96968,                0.63852,                0.75221,                0.62525,                0.25553,                0.58025,                0.71198,                0.54959,                0.21659,                 2.2135,                 3.7002,                 1.0186,                 1.7635,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.93974,                 1.4627,                0.52081,                0.99605,                0.62957,                0.75929,                0.62715,                0.25915,                0.57635,                0.73451,                0.56032,                0.21849,                 2.2261,                 3.7975,                 1.0076,                 1.7781,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.94004,                 1.5234,                0.54283,                0.97201,                0.61987,                0.76283,                0.62815,                0.26012,                 0.5711,                0.73059,                0.55501,                0.21499,                  2.229,                 3.8052,                 1.0062,                 1.7786,               3.98e-05,               3.98e-05,               3.98e-05
